,Fold,Bin Number,p_val,m_val,Error
0,0,11,0.001,24,0.0
1,0,11,0.001,100,0.0
2,0,11,1.0,24,0.0
3,0,11,1.0,100,0.0
4,0,50,0.001,24,0.0
5,0,50,0.001,100,0.0
6,0,50,1.0,24,0.0
7,0,50,1.0,100,0.0
8,1,11,0.001,24,0.0
9,1,11,0.001,100,0.0
10,1,11,1.0,24,0.0
11,1,11,1.0,100,0.0
12,1,50,0.001,24,0.0
13,1,50,0.001,100,0.0
14,1,50,1.0,24,0.0
15,1,50,1.0,100,0.0
16,2,11,0.001,24,0.4
17,2,11,0.001,100,0.4
18,2,11,1.0,24,0.4
19,2,11,1.0,100,0.4
20,2,50,0.001,24,0.4
21,2,50,0.001,100,0.4
22,2,50,1.0,24,0.4
23,2,50,1.0,100,0.4
24,3,11,0.001,24,0.6
25,3,11,0.001,100,0.6
26,3,11,1.0,24,0.6
27,3,11,1.0,100,0.6
28,3,50,0.001,24,0.6
29,3,50,0.001,100,0.6
30,3,50,1.0,24,0.6
31,3,50,1.0,100,0.6
32,4,11,0.001,24,0.4
33,4,11,0.001,100,0.4
34,4,11,1.0,24,0.4
35,4,11,1.0,100,0.4
36,4,50,0.001,24,0.4
37,4,50,0.001,100,0.4
38,4,50,1.0,24,0.4
39,4,50,1.0,100,0.4
40,5,11,0.001,24,0.6
41,5,11,0.001,100,0.6
42,5,11,1.0,24,0.6
43,5,11,1.0,100,0.6
44,5,50,0.001,24,0.6
45,5,50,0.001,100,0.6
46,5,50,1.0,24,0.6
47,5,50,1.0,100,0.6
48,6,11,0.001,24,0.0
49,6,11,0.001,100,0.0
50,6,11,1.0,24,0.0
51,6,11,1.0,100,0.0
52,6,50,0.001,24,0.0
53,6,50,0.001,100,0.0
54,6,50,1.0,24,0.0
55,6,50,1.0,100,0.0
56,7,11,0.001,24,0.0
57,7,11,0.001,100,0.0
58,7,11,1.0,24,0.0
59,7,11,1.0,100,0.0
60,7,50,0.001,24,0.0
61,7,50,0.001,100,0.0
62,7,50,1.0,24,0.0
63,7,50,1.0,100,0.0
64,8,11,0.001,24,0.0
65,8,11,0.001,100,0.0
66,8,11,1.0,24,0.0
67,8,11,1.0,100,0.0
68,8,50,0.001,24,0.0
69,8,50,0.001,100,0.0
70,8,50,1.0,24,0.0
71,8,50,1.0,100,0.0
72,9,11,0.001,24,0.25
73,9,11,0.001,100,0.25
74,9,11,1.0,24,0.25
75,9,11,1.0,100,0.25
76,9,50,0.001,24,0.25
77,9,50,0.001,100,0.25
78,9,50,1.0,24,0.25
79,9,50,1.0,100,0.25
