,Date,Plant-Stand,Precip,Temp,Hail,Crop-Hist,Area-Damaged,Severity,Seed-TMT,Germination,Plant-Growth,Leaves,Leafspots-Halo,Leafspots-Marg,Leafspot-Size,Leaf-Shread,Leaf-Malf,Leaf-Mild,Stem,Lodging,Stem-Cankers,Canker-Lesion,Fruiting-Bodies,External Decay,Mycelium,Int-Discolor,Sclerotia,Fruit-Pods,Fruit Spots,Seed,Mold-Growth,Seed-Discolor,Seed-Size,Shriveling,Roots,Class
0,3,0,1,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,D1
1,3,0,1,1,0,3,0,0,2,3,0,1,0,0,0,0,0,0,0,3,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,D1
2,2,0,1,2,0,2,0,3,2,1,0,1,0,0,0,0,0,0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,D1
3,4,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,D1
4,3,0,1,2,0,3,0,3,0,3,0,1,0,0,0,0,0,0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,D1
5,4,0,2,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,4,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,D1
6,2,0,2,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,4,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,D1
7,2,0,2,2,0,0,0,3,2,3,0,1,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,D1
8,4,0,2,2,0,3,0,0,3,1,0,1,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,D1
9,4,0,2,2,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,D1
10,4,1,0,4,3,0,3,0,0,0,1,2,1,1,1,1,1,1,1,4,0,4,0,0,1,4,4,1,1,1,1,1,1,1,1,D2
11,3,1,0,2,0,2,4,0,3,1,1,2,1,1,1,1,1,1,1,0,0,4,0,0,1,4,4,1,1,1,1,1,1,1,1,D2
12,4,1,0,4,1,3,4,0,0,3,1,2,1,1,1,1,1,1,1,0,0,4,0,0,1,4,4,1,1,1,1,1,1,1,1,D2
13,4,1,0,3,3,3,4,1,3,0,1,2,1,1,1,1,1,1,1,0,0,4,0,0,1,4,4,1,1,1,1,1,1,1,1,D2
14,2,1,0,4,3,0,4,1,0,1,1,2,1,1,1,1,1,1,1,0,0,4,0,0,1,4,4,1,1,1,1,1,1,1,1,D2
15,3,1,0,3,3,1,4,1,3,1,1,2,1,1,1,1,1,1,1,4,0,4,0,0,1,4,4,1,1,1,1,1,1,1,1,D2
16,2,1,0,3,1,1,4,1,0,0,1,2,1,1,1,1,1,1,1,1,0,4,0,0,1,4,4,1,1,1,1,1,1,1,1,D2
17,4,1,0,4,4,2,4,1,0,3,1,2,1,1,1,1,1,1,1,4,0,4,0,0,1,4,4,1,1,1,1,1,1,1,1,D2
18,4,1,0,4,1,1,4,1,3,0,1,2,1,1,1,1,1,1,1,1,0,4,0,0,1,4,4,1,1,1,1,1,1,1,1,D2
19,4,2,0,4,4,4,4,1,3,3,2,3,2,2,2,2,2,2,2,1,0,4,0,0,2,4,4,2,2,2,2,2,2,2,2,D2
20,0,2,2,0,1,1,1,1,3,2,2,0,2,2,2,2,2,2,2,1,1,1,1,3,4,1,1,2,2,2,2,2,2,2,2,D3
21,1,2,2,0,1,4,1,3,1,2,2,0,2,2,2,2,2,2,2,1,1,1,1,3,2,1,1,2,2,2,2,2,2,2,2,D3
22,1,2,2,0,1,2,1,1,1,3,2,0,2,2,2,2,2,2,2,1,1,1,1,3,4,1,1,2,2,2,2,2,2,2,2,D3
23,0,2,2,0,1,0,1,2,3,4,2,0,2,2,2,2,2,2,2,1,1,1,1,3,2,1,1,2,2,2,2,2,2,2,2,D3
24,0,2,3,0,1,2,1,2,3,2,2,0,2,2,2,2,2,2,2,1,1,1,1,3,2,1,1,2,2,2,2,2,2,2,2,D3
25,3,2,3,0,4,0,1,3,1,4,2,3,2,2,2,2,2,2,2,4,1,1,1,3,4,1,1,2,2,2,2,2,2,2,2,D3
26,1,2,3,0,1,4,1,3,1,4,2,0,2,2,2,2,2,2,2,1,1,1,1,4,4,1,1,2,2,2,2,2,2,2,2,D3
27,0,3,3,0,2,0,1,2,1,2,2,0,2,2,2,2,2,2,2,2,1,1,1,4,2,1,1,2,2,2,2,2,2,2,3,D3
28,2,2,3,0,4,4,1,3,1,2,3,0,3,3,3,3,3,3,3,4,1,1,1,4,4,1,1,3,3,3,3,3,3,3,2,D3
29,0,3,3,0,2,1,2,3,4,4,3,0,3,3,3,3,3,3,3,2,2,2,2,4,2,2,2,3,3,3,3,3,3,3,3,D3
30,1,3,3,3,4,4,2,3,4,4,3,3,3,3,3,3,3,3,3,2,3,2,2,4,2,2,2,3,3,3,3,3,3,3,3,D4
31,0,3,1,3,2,1,2,2,1,0,3,3,3,3,3,3,3,3,3,2,2,2,2,1,2,2,2,3,3,3,3,3,3,3,3,D4
32,3,3,3,1,2,1,2,4,4,0,3,3,3,3,3,3,3,3,3,2,3,2,2,1,2,2,2,3,3,3,3,3,3,3,3,D4
33,2,3,3,3,4,1,2,4,1,4,3,3,3,3,3,3,3,3,3,2,2,2,2,4,3,2,2,3,3,3,3,3,3,3,3,D4
34,1,3,4,1,2,4,2,2,4,4,3,3,3,3,3,3,3,3,3,2,3,2,2,1,3,2,2,3,3,3,3,3,3,3,3,D4
35,1,3,4,3,2,0,2,4,4,2,3,3,3,3,3,3,3,3,3,2,3,2,2,1,3,2,2,3,3,3,3,3,3,3,3,D4
36,0,3,4,3,2,4,2,2,1,0,3,3,3,3,3,3,3,3,3,2,2,2,2,1,3,2,2,3,3,3,3,3,3,3,3,D4
37,2,4,4,1,2,2,2,4,2,0,4,4,4,4,4,4,4,4,4,3,2,2,2,1,3,2,2,4,4,4,4,4,4,4,4,D4
38,3,4,4,1,2,3,3,4,4,2,4,4,4,4,4,4,4,4,4,3,3,3,3,1,3,3,3,4,4,4,4,4,4,4,4,D4
39,3,4,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1,3,3,3,4,4,4,4,4,4,4,4,D4
40,0,4,4,3,4,2,3,2,2,1,4,4,4,4,4,4,4,4,4,3,2,3,3,4,3,3,3,4,4,4,4,4,4,4,4,D4
41,1,4,4,4,4,4,3,4,2,2,4,4,4,4,4,4,4,4,4,4,2,3,3,4,3,3,3,4,4,4,4,4,4,4,4,D4
42,1,4,4,1,3,0,3,4,4,1,4,4,4,4,4,4,4,4,4,3,3,3,3,1,4,3,3,4,4,4,4,4,4,4,4,D4
43,1,4,4,4,4,3,4,2,4,2,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,D4
